Model,Device,Threads,ms/frame Hikey,Lfreq,Bfreq,Temperature,Cluster1,Cluster2
quant,CPU,1,64,1790,2362,46,12,116
quant,CPU,2,35,1760,2362,56,23,196
quant,CPU,3,24,1790,2362,65,32,261
quant,CPU,4,25,1790,2362,70,49,296
quant,CPU,5,27,1840,2362,72,103,308
quant,CPU,6,30,1840,2362,72,151,310
quant,CPU,7,47,1820,2362,72,164,327
quant,CPU,8,74,1820,2362,72,170,341
quant,NNAPI,1,63,1750,2362,54,12,116
quant,NNAPI,2,34,1750,2362,59,23,196
quant,NNAPI,3,26,1790,2362,66,32,262
quant,NNAPI,4,24,1790,2362,70,48,296
quant,NNAPI,5,27,1840,2362,72,104,308
quant,NNAPI,6,32,1844,2362,72,151,310
quant,NNAPI,7,47,1830,2362,72,164,327
quant,NNAPI,8,75,1840,2362,72,172,341
float,CPU,1,136,1350,2362,50,8,111
float,CPU,2,71,1750,2362,60,17,198
float,CPU,3,49,1830,2362,71,23,272
float,CPU,4,46,1780,2362,79,45,313
float,CPU,5,49,1830,2362,80,104,318
float,CPU,6,51,1830,2362,81,158,321
float,CPU,7,73,1830,2362,78,171,331
float,CPU,8,96,1780,2362,76,177,342
float,GPU,1,48,1520,2140,42,28,41
float,GPU,2,44,1650,2200,40,27,42
float,GPU,3,37,1650,2240,40,29,42
float,GPU,4,43,1570,2140,40,28,41
float,GPU,5,46,1650,2230,41,29,44
float,GPU,6,40,1650,2140,40,29,43
float,GPU,7,44,1630,2220,40,28,41
float,GPU,8,45,1680,2170,40,28,41
float,NNAPI,1,141,1610,2362,47,9,110
float,NNAPI,2,71,1730,2362,60,16,199
float,NNAPI,3,50,1780,2362,72,21,274
float,NNAPI,4,44,1760,2362,80,43,315
float,NNAPI,5,47,1830,2362,81,107,320
float,NNAPI,6,50,1840,2362,81,158,320
float,NNAPI,7,69,1840,2362,78,173,330
float,NNAPI,8,94,1800,2362,76,176,341
