Model,Device,Threads,ms/frame LG
quant,CPU,1,192
quant,CPU,2,98
quant,CPU,3,69
quant,CPU,4,54
quant,CPU,5,50
quant,CPU,6,45
quant,CPU,7,41
quant,CPU,8,41
quant,NNAPI,1,80
quant,NNAPI,2,79
quant,NNAPI,3,77
quant,NNAPI,4,78
quant,NNAPI,5,77
quant,NNAPI,6,78
quant,NNAPI,7,77
quant,NNAPI,8,78
float,CPU,1,378
float,CPU,2,194
float,CPU,3,137
float,CPU,4,107
float,CPU,5,96
float,CPU,6,87
float,CPU,7,81
float,CPU,8,81
float,GPU,1,261
float,GPU,2,259
float,GPU,3,258
float,GPU,4,259
float,GPU,5,259
float,GPU,6,259
float,GPU,7,259
float,GPU,8,259
float,NNAPI,1,129
float,NNAPI,2,128
float,NNAPI,3,126
float,NNAPI,4,127
float,NNAPI,5,127
float,NNAPI,6,128
float,NNAPI,7,126
float,NNAPI,8,126
